"changed_fraction","seed","t","policy","epsilon","changed_loss"
"0.05","5002","100","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.872966766357422"
"0.05","5002","110","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","4.104348754882812"
"0.05","5002","120","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.977421188354492"
"0.05","5002","130","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.942274475097656"
"0.05","5002","140","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.8144863128662108"
"0.05","5002","150","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","4.0441535949707035"
"0.05","5002","160","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.7476272583007812"
"0.05","5002","170","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.948752212524414"
"0.05","5002","180","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.746202850341797"
"0.05","5002","190","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.7176170349121094"
"0.05","5002","199","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.695429229736328"
"0.05","5002","0","mcglr_top2_ogpm_eps_1","eps_1","2.658990669250488"
"0.05","5002","10","mcglr_top2_ogpm_eps_1","eps_1","2.7174551010131838"
"0.05","5002","20","mcglr_top2_ogpm_eps_1","eps_1","2.7843713760375977"
"0.05","5002","30","mcglr_top2_ogpm_eps_1","eps_1","2.788310241699219"
"0.05","5002","40","mcglr_top2_ogpm_eps_1","eps_1","3.7223596572875977"
"0.05","5002","50","mcglr_top2_ogpm_eps_1","eps_1","3.5532222747802735"
"0.05","5002","60","mcglr_top2_ogpm_eps_1","eps_1","3.4238754749298095"
"0.05","5002","70","mcglr_top2_ogpm_eps_1","eps_1","3.811220645904541"
"0.05","5002","80","mcglr_top2_ogpm_eps_1","eps_1","3.719315528869629"
"0.05","5002","90","mcglr_top2_ogpm_eps_1","eps_1","3.6026453971862793"
"0.05","5002","100","mcglr_top2_ogpm_eps_1","eps_1","3.726971435546875"
"0.05","5002","110","mcglr_top2_ogpm_eps_1","eps_1","3.9120452880859373"
"0.05","5002","120","mcglr_top2_ogpm_eps_1","eps_1","3.832187271118164"
"0.05","5002","130","mcglr_top2_ogpm_eps_1","eps_1","3.7893260955810546"
"0.05","5002","140","mcglr_top2_ogpm_eps_1","eps_1","3.613138484954834"
"0.05","5002","150","mcglr_top2_ogpm_eps_1","eps_1","3.8101245880126955"
"0.05","5002","160","mcglr_top2_ogpm_eps_1","eps_1","3.486969566345215"
"0.05","5002","170","mcglr_top2_ogpm_eps_1","eps_1","3.612792205810547"
"0.05","5002","180","mcglr_top2_ogpm_eps_1","eps_1","3.509228515625"
